2022-02-28 00:27:22,335 DEBUG    decorators process_message вызвана из функции main с аргументами (b'{"action": "message", "time": 1645982842.3352952, "message": "\\u043a\\u043e\\u0440\\u043e\\u0432\\u0430", "user": {"account_name": "Another_user_3", "status": "online"}}',), {}. Результат: {'from': 'Another_user_3', 'message': 'корова', 'status': 200, 'time': 1645982842.3356369}
2022-02-28 00:27:22,335 INFO     server 2 пользователей ожидают сообщения
2022-02-28 00:27:22,335 INFO     server Отправляется сообщение {'from': 'Another_user_3', 'message': 'корова', 'status': 200, 'time': 1645982842.3356369}
2022-02-28 00:27:23,336 INFO     server Получено 0 сообщений
2022-02-28 00:27:23,336 INFO     server 1 пользователей ожидают сообщения
2022-02-28 00:27:24,337 INFO     server Получено 0 сообщений
2022-02-28 00:27:24,337 INFO     server 1 пользователей ожидают сообщения
2022-02-28 00:27:25,339 INFO     server Получено 0 сообщений
2022-02-28 00:27:25,339 INFO     server 1 пользователей ожидают сообщения
2022-02-28 00:27:26,340 INFO     server Получено 0 сообщений
2022-02-28 00:27:26,340 INFO     server 1 пользователей ожидают сообщения
2022-02-28 00:27:27,342 INFO     server Получено 1 сообщений
2022-02-28 00:27:27,342 INFO     server 1 пользователей ожидают сообщения
2022-02-28 00:27:28,344 INFO     server Получено 0 сообщений
2022-02-28 00:27:28,344 INFO     server 0 пользователей ожидают сообщения
